Hour_End,COAST,EAST,FAR_WEST,NORTH,NORTH_C,SOUTHERN,SOUTH_C,WEST,ERCOT
4/28/2014 21:00,13013.7035776395,1495.79619303523,1942.50531242358,809.834149770558,13571.3607985537,4092.36309762512,7901.37609811412,1175.15680883818,44002.096036
4/28/2014 22:00,12236.9558076012,1392.38986164819,1943.43750374895,785.760149082576,13050.641415603,3900.39228356556,7346.0448814415,1136.69191430899,41792.313817
4/28/2014 22:59,11187.2025750041,1256.95807662475,1864.68397108524,722.260126083562,11664.2228999419,3524.71464306238,6502.50369607839,1040.28134011972,37762.827328
4/29/2014 0:00,10129.0909,1151.29798,1775.25688,673.63017,10324.7376,3105.7138,5649.94246,938.90615,33748.57594
4/29/2014 1:00,9370.09502209219,1085.95108926722,1716.57281279549,630.620662099756,9360.882187408,2792.60180733936,5003.86482689579,865.762400102189,30826.350808
4/29/2014 1:59,8938.54300239574,1024.87220439454,1689.95009719798,604.801922670496,8718.53649925197,2591.91965601864,4566.80058782134,823.659305249293,28959.083275
4/29/2014 3:00,8622.39951187448,994.911353810942,1668.91460982893,595.994636111308,8338.91704927513,2466.20851598925,4307.67726319656,799.110699913358,27794.13364
4/29/2014 4:00,8485.99644241026,982.795193326906,1661.38640426655,596.107889018136,8053.78319383312,2401.31041928176,4182.65071169712,786.694087166149,27150.724341
4/29/2014 4:59,8651.18770465788,980.160174719749,1662.31464330203,592.165653010171,8164.71657060855,2394.82577651523,4193.24076693975,789.69202524664,27428.303315
4/29/2014 6:00,9244.49209469426,1027.53463002036,1673.42163170164,611.907862260626,8747.99771069105,2501.01698640036,4488.45729665762,819.321776574095,29114.149989
4/29/2014 7:00,10062.7480614831,1154.36820338692,1740.16651515023,671.733663010311,9966.35502372555,2816.82281902874,5102.34546595913,896.747137255965,32411.286889
4/29/2014 7:59,10174.3205787279,1210.64400331553,1775.36857040408,691.357387747047,10454.6551248947,2892.14716245014,5261.56299134374,911.14020611693,33371.196025
4/29/2014 9:00,10381.9554517067,1237.59534781597,1790.11722659838,703.388249473949,10533.4276445755,2919.03674593964,5327.14136169203,927.453206197804,33820.115234
